rent_price,address,sqr_m,name_place,rei_price,shikikin,maintenence_price,nearest_eki,apartment_type,year_built,ku_name,floor,house_type
10.2万円,東京都江東区東陽１,25.51m2,グランド・ガーラ木場,15.3万円,10.2万円,9000円,東京メトロ東西線/木場駅 歩6分,2K,新築,東京都江東区東陽１,"3階建
",賃貸マンション
8.4万円,東京都墨田区石原２,28.05m2,ドエル石原,12.6万円,8.4万円,4000円,都営大江戸線/両国駅 歩9分,2K,築7年,東京都墨田区石原２,"3階建
",賃貸マンション
7.9万円,東京都墨田区両国２,20.86m2,CITY SPIRE両国,-,-,10000円,ＪＲ総武線/両国駅 歩3分,1K,築13年,東京都墨田区両国２,"
13階建
",賃貸マンション
13.5万円,東京都品川区大崎５,32.54m2,Hill Flat Osaki,13.5万円,6.75万円,-,ＪＲ山手線/大崎駅 歩6分,1K,築6年,東京都品川区大崎５,"5階建
",賃貸マンション
8.7万円,東京都中野区東中野１,33.71m2,ＪＲ総武線 東中野駅 3階建 築33年,8.7万円,8.7万円,5000円,ＪＲ総武線/東中野駅 歩4分,2K,築33年,東京都中野区東中野１,"
3階建
",賃貸マンション
13.1万円,東京都杉並区阿佐谷北２,38m2,コモドヴィラ,19.65万円,13.1万円,4000円,ＪＲ中央線/阿佐ヶ谷駅 歩7分,2K,築15年,東京都杉並区阿佐谷北２,"
3階建
",賃貸マンション
8.9万円,東京都中野区中野５,30.1m2,石井メゾン,8.9万円,8.9万円,3000円,ＪＲ総武線/中野駅 歩5分,2K,築49年,東京都中野区中野５,"
5階建
",賃貸マンション
9.5万円,東京都墨田区横川５,36m2,CHERRY PALACE,9.5万円,9.5万円,5000円,東京メトロ半蔵門線/錦糸町駅 歩8分,2K,築31年,東京都墨田区横川５,"
6階建
",賃貸マンション
9.5万円,東京都大田区西蒲田７,25.63m2,スパシエ蒲田グランドタワー,9.5万円,9.5万円,10000円,東急池上線/蓮沼駅 歩4分,1K,築2年,東京都大田区西蒲田７,"15階建
",賃貸マンション
9.5万円,東京都豊島区巣鴨３,46.05m2,弘山荘,-,9.5万円,20000円,ＪＲ山手線/巣鴨駅 歩6分,2K,築50年,東京都豊島区巣鴨３,"
2階建
",賃貸アパート
10.7万円,東京都江東区清澄２,40m2,平間ビル,10.7万円,10.7万円,5000円,都営大江戸線/清澄白河駅 歩4分,2DK,築41年,東京都江東区清澄２,"
5階建
",賃貸マンション
11.4万円,東京都台東区根岸３,25.56m2,アジールコート台東根岸,-,11.4万円,8000円,東京メトロ日比谷線/入谷駅 歩6分,1DK,築2年,東京都台東区根岸３,"11階建
",賃貸マンション
10.5万円,東京都中野区本町６,25.66m2,東京メトロ丸ノ内線 新中野駅 10階建 新築,10.5万円,10.5万円,8000円,東京メトロ丸ノ内線/新中野駅 歩5分,1K,新築,東京都中野区本町６,"0階建
",賃貸マンション
11.8万円,東京都台東区西浅草２,30.29m2,日神デュオステージ浅草,11.8万円,11.8万円,5000円,東京メトロ銀座線/浅草駅 歩8分,1DK,築12年,東京都台東区西浅草２,"
13階建
",賃貸マンション
9.5万円,東京都墨田区亀沢３,25.74m2,ステージファースト両国IIアジールコート,9.5万円,9.5万円,5000円,都営大江戸線/両国駅 歩9分,1K,築3年,東京都墨田区亀沢３,"7階建
",賃貸マンション
11.3万円,東京都中野区中野５,26.25m2,ピッツ・ベルニナ,11.3万円,-,3500円,ＪＲ中央線/中野駅 歩4分,1DK,築7年,東京都中野区中野５,"4階建
",賃貸マンション
10.4万円,東京都中野区白鷺３,40.32m2,西武新宿線 下井草駅 3階建 築3年,10.4万円,10.4万円,3000円,西武新宿線/下井草駅 歩9分,1DK,築3年,東京都中野区白鷺３,"3階建
",賃貸マンション
10.9万円,東京都文京区本郷１,25.6m2,レジディア文京本郷,10.9万円,21.8万円,10000円,都営三田線/水道橋駅 歩3分,1K,築16年,東京都文京区本郷１,"
12階建
",賃貸マンション
9.7万円,東京都江東区辰巳２,28.48m2,パークアクシス辰巳ステージ,9.7万円,9.7万円,8000円,東京メトロ有楽町線/辰巳駅 歩5分,1K,築13年,東京都江東区辰巳２,"
地下1地上13階建
",賃貸マンション
9.4万円,東京都豊島区池袋３,31.05m2,プランタン池袋,9.4万円,9.4万円,5000円,東京メトロ有楽町線/要町駅 歩7分,1DK,築8年,東京都豊島区池袋３,"3階建
",賃貸アパート
12.4万円,東京都文京区千駄木４,35.48m2,CASA文京動坂,6.2万円,12.4万円,5000円,東京メトロ千代田線/千駄木駅 歩10分,1DK,築15年,東京都文京区千駄木４,"
12階建
",賃貸マンション
11.3万円,東京都文京区本駒込５,52.8m2,フローラ本駒込,11.3万円,11.3万円,5000円,ＪＲ山手線/駒込駅 歩8分,1DK,築25年,東京都文京区本駒込５,"
10階建
",賃貸マンション
10.6万円,東京都台東区駒形１,32.13m2,メインステージ浅草,10.6万円,-,18000円,都営大江戸線/蔵前駅 歩3分,1DK,築16年,東京都台東区駒形１,"
11階建
",賃貸マンション
8.3万円,東京都中野区野方４,32.4m2,ヴェルテーユ中野,8.3万円,8.3万円,3000円,西武新宿線/野方駅 歩5分,1DK,築30年,東京都中野区野方４,"
3階建
",賃貸マンション
