rent_price,address,sqr_m,name_place,rei_price,shikikin,maintenence_price,nearest_eki,apartment_type,year_built,ku_name,floor,house_type,Lat,Lon
6万円,大阪府大阪市城東区今福南１,25.01m2,地下鉄長堀鶴見緑地線 蒲生四丁目駅 11階建 築14年,-,-,7000円,地下鉄長堀鶴見緑地線/蒲生四丁目駅 歩5分,1K,築14年,大阪府大阪市城東区今福南１,"
11階建
",賃貸マンション,,
9.5万円,大阪府大阪市北区西天満５,31.87m2,セレニテ梅田EST,-,-,7000円,地下鉄谷町線/南森町駅 歩5分,1DK,築4年,大阪府大阪市北区西天満５,"15階建
",賃貸マンション,,
6.1万円,大阪府大阪市城東区東中浜２,28.56m2,リブリ・Feriado,-,-,4000円,地下鉄中央線/緑橋駅 歩6分,1K,築3年,大阪府大阪市城東区東中浜２,"3階建
",賃貸マンション,,
6.56万円,大阪府大阪市城東区野江２,24.62m2,プロヴィスタ京橋ノースゲート,-,-,8000円,京阪本線/野江駅 歩7分,1K,新築,大阪府大阪市城東区野江２,"0階建
",賃貸マンション,,
5.3万円,大阪府大阪市城東区諏訪２,22.96m2,ＪＲ片町線 放出駅 12階建 築14年,-,-,8000円,ＪＲ片町線/放出駅 歩8分,1K,築14年,大阪府大阪市城東区諏訪２,"
12階建
",賃貸マンション,,
5.3万円,大阪府大阪市城東区諏訪２,22.96m2,バルーンフラワー諏訪,-,-,8000円,地下鉄中央線/深江橋駅 歩9分,1K,築14年,大阪府大阪市城東区諏訪２,"
12階建
",賃貸マンション,,
5.5万円,大阪府大阪市城東区今福西４,30m2,地下鉄長堀鶴見緑地線 蒲生四丁目駅 6階建 築15年,-,-,6000円,地下鉄長堀鶴見緑地線/蒲生四丁目駅 歩5分,1DK,築15年,大阪府大阪市城東区今福西４,"
6階建
",賃貸マンション,,
5.5万円,大阪府大阪市城東区今福西４,30m2,ベルダァーIII番館,-,-,6000円,地下鉄長堀鶴見緑地線/蒲生四丁目駅 歩5分,1DK,築15年,大阪府大阪市城東区今福西４,"
6階建
",賃貸マンション,,
9.12万円,大阪府大阪市北区中崎西４,36.1m2,エステムプラザ梅田・中崎町IIIツインマークスSR,-,-,8840円,地下鉄谷町線/中崎町駅 歩7分,2K,築9年,大阪府大阪市北区中崎西４,"15階建
",賃貸マンション,,
5.8万円,大阪府大阪市城東区関目１,30m2,Ｒｉｔ’ｚ　ＮＹ,-,-,5000円,京阪本線/野江駅 歩8分,1DK,築19年,大阪府大阪市城東区関目１,"
5階建
",賃貸マンション,,
6.1万円,大阪府大阪市城東区鴫野西５,30.87m2,ドルチェ城東,-,-,8000円,ＪＲ片町線/鴫野駅 歩3分,1K,築17年,大阪府大阪市城東区鴫野西５,"
6階建
",賃貸マンション,,
8.7万円,大阪府大阪市北区西天満５,28.09m2,セレニテ梅田ルフレ,-,-,10000円,地下鉄谷町線/南森町駅 歩3分,2K,築2年,大阪府大阪市北区西天満５,"15階建
",賃貸マンション,,
6.1万円,大阪府大阪市東成区神路３,26.88m2,プロスパーコート神路,-,-,5000円,地下鉄千日前線/新深江駅 歩5分,1K,築2年,大阪府大阪市東成区神路３,"5階建
",賃貸マンション,,
6万円,大阪府大阪市城東区今福南１,25.01m2,ドムス蒲生,-,-,7000円,地下鉄長堀鶴見緑地線/蒲生四丁目駅 歩4分,1K,築14年,大阪府大阪市城東区今福南１,"
11階建
",賃貸マンション,,
6.13万円,大阪府大阪市東成区東中本３,26.72m2,アドバンス大阪城ラディア,-,-,5900円,地下鉄中央線/緑橋駅 歩4分,1K,築6年,大阪府大阪市東成区東中本３,"9階建
",賃貸マンション,,
4.8万円,大阪府大阪市東成区東小橋２,22.46m2,エイチ・ツー・オー東小橋II,-,-,7000円,ＪＲ大阪環状線/玉造駅 歩7分,1K,築16年,大阪府大阪市東成区東小橋２,"
8階建
",賃貸マンション,,
6.7万円,大阪府大阪市北区本庄西２,25.22m2,地下鉄堺筋線 天神橋筋六丁目駅 10階建 築13年,-,-,6000円,地下鉄堺筋線/天神橋筋六丁目駅 歩8分,1K,築13年,大阪府大阪市北区本庄西２,"
10階建
",賃貸マンション,,
5.7万円,大阪府大阪市北区本庄西２,21.28m2,エステムコート梅田・天神橋2グラシオ,-,-,7800円,地下鉄谷町線/天神橋筋六丁目駅 歩7分,1K,築8年,大阪府大阪市北区本庄西２,"12階建
",賃貸マンション,,
