rent_price,address,sqr_m,name_place,rei_price,shikikin,maintenence_price,nearest_eki,apartment_type,year_built,ku_name,floor,house_type,Lat,Lon
8.6万円,大阪府大阪市北区曾根崎新地２,27.9m2,堂島プライマリーワン,-,-,10000円,ＪＲ東西線/北新地駅 歩4分,1DK,築17年,大阪府大阪市北区曾根崎新地２,"
9階建
",賃貸マンション,,
9万円,大阪府大阪市北区同心１,30.43m2,アスール南森町,-,-,6000円,地下鉄堺筋線/扇町駅 歩10分,1DK,築5年,大阪府大阪市北区同心１,"15階建
",賃貸マンション,,
5.75万円,大阪府大阪市東成区大今里西２,23.25m2,地下鉄千日前線 今里駅 9階建 新築,-,-,10000円,地下鉄千日前線/今里駅 歩5分,1K,新築,大阪府大阪市東成区大今里西２,"階建
",賃貸マンション,,
6.3万円,大阪府大阪市鶴見区鶴見４,29.2m2,デイグラン鶴見,-,-,8000円,地下鉄長堀鶴見緑地線/今福鶴見駅 歩4分,1K,築14年,大阪府大阪市鶴見区鶴見４,"
12階建
",賃貸マンション,,
5.6万円,大阪府大阪市東成区中本２,23.3m2,ＨＡＳＥＯ緑橋,-,-,6000円,地下鉄中央線/緑橋駅 歩3分,1DK,築6年,大阪府大阪市東成区中本２,"3階建
",賃貸マンション,,
6.23万円,大阪府大阪市城東区諏訪１,22.46m2,スワンズシティ大阪城コスタ,-,-,6200円,ＪＲ片町線/放出駅 歩7分,1K,新築,大阪府大阪市城東区諏訪１,"1階建
",賃貸マンション,,
6.1万円,大阪府大阪市城東区東中浜２,28.56m2,リブリ・フェリアード,-,-,4000円,地下鉄中央線/緑橋駅 歩6分,1K,築3年,大阪府大阪市城東区東中浜２,"3階建
",賃貸マンション,,
7.4万円,大阪府大阪市北区豊崎５,27.39m2,グランカーサ梅田北,-,-,10000円,地下鉄御堂筋線/中津駅 歩4分,1K,築14年,大阪府大阪市北区豊崎５,"
15階建
",賃貸マンション,,
5.86万円,大阪府大阪市東成区大今里３,22.33m2,アドバンス大阪バレンシア,-,-,4900円,地下鉄千日前線/今里駅 歩1分,1K,新築,大阪府大阪市東成区大今里３,"5階建
",賃貸マンション,,
4.6万円,大阪府大阪市北区大淀中２,18.72m2,エステムコート梅田北,-,-,7900円,阪急神戸線/中津駅 歩11分,1K,築24年,大阪府大阪市北区大淀中２,"
10階建
",賃貸マンション,,
6.15万円,大阪府大阪市城東区蒲生４,22.3m2,ロイヤルアシュリー蒲生,-,-,8000円,地下鉄長堀鶴見緑地線/蒲生四丁目駅 歩3分,1K,築2年,大阪府大阪市城東区蒲生４,"8階建
",賃貸マンション,,
6.1万円,大阪府大阪市城東区成育２,26.27m2,ノエル野江,-,-,10000円,京阪本線/野江駅 歩3分,1K,築6年,大阪府大阪市城東区成育２,"7階建
",賃貸マンション,,
5.8万円,大阪府大阪市城東区野江４,20.3m2,地下鉄谷町線 野江内代駅 9階建 築24年,-,-,-,地下鉄谷町線/野江内代駅 歩2分,1K,築24年,大阪府大阪市城東区野江４,"
9階建
",賃貸マンション,,
