rent_price,address,sqr_m,rei_price,shikikin,maintenence_price,apartment_type,year_built,ku_name,floor,house_type,eki_walk
13.0,東京都中野区中野２,25.1,0.0,13.0,10000.0,2K,1,中野,8,賃貸マンション,5
17.0,東京都中野区新井１,46.07,17.0,17.0,3000.0,2K,13,中野,2,賃貸アパート,8
11.0,東京都目黒区碑文谷２,35.05,11.0,11.0,0.0,2K,30,目黒,3,賃貸マンション,12
8.7,東京都文京区本駒込５,30.0,8.7,8.7,3000.0,2K,53,文京,12,賃貸マンション,6
7.9,東京都中野区中央３,30.62,7.9,7.9,3000.0,2K,37,中野,2,賃貸アパート,8
12.0,東京都新宿区西落合１,30.42,12.0,12.0,8000.0,2K,1,新宿,7,賃貸マンション,6
8.9,東京都中野区弥生町２,37.0,8.9,8.9,6000.0,2K,43,中野,6,賃貸マンション,4
7.8,東京都中野区上鷺宮４,33.05,7.8,7.8,0.0,2K,42,中野,3,賃貸マンション,3
8.5,東京都荒川区町屋４,30.0,8.5,8.5,2000.0,1DK,25,荒川,3,賃貸アパート,9
6.5,東京都荒川区荒川６,27.0,6.5,6.5,0.0,1DK,25,荒川,3,賃貸マンション,2
13.5,東京都荒川区東日暮里４,41.88,13.5,13.5,10000.0,2DK,3,荒川,11,賃貸マンション,5
8.7,東京都荒川区町屋３,30.08,8.7,8.7,3000.0,1DK,37,荒川,10,賃貸マンション,7
11.35,東京都目黒区目黒本町３,30.9,11.35,0.0,3000.0,1DK,8,目黒,3,賃貸アパート,8
7.9,東京都目黒区柿の木坂３,35.0,7.9,7.9,4000.0,2K,43,目黒,2,賃貸アパート,13
9.35,東京都墨田区立花５,34.39,9.35,0.0,4000.0,1DK,9,墨田,4,賃貸マンション,7
12.4,東京都目黒区大岡山１,32.18,12.4,12.4,5000.0,1LDK,18,目黒,5,賃貸マンション,14
9.4,東京都目黒区中根２,22.59,18.8,9.4,5000.0,2SK,6,目黒,3,賃貸テラス・タウンハウス,4
14.8,東京都中央区日本橋兜町,30.48,0.0,14.8,12000.0,1DK,4,中央,10,賃貸マンション,4
9.9,東京都台東区入谷２,33.78,9.9,9.9,8100.0,1DK,21,台東,12,賃貸マンション,4
8.4,東京都目黒区中目黒３,25.5,8.4,8.4,3000.0,1DK,23,目黒,2,賃貸アパート,10
9.45,東京都台東区浅草６,25.43,0.0,0.0,10000.0,1DK,3,台東,9,賃貸マンション,10
14.6,東京都中央区月島１,36.12,14.6,0.0,5000.0,1DK,6,中央,9,賃貸マンション,3
11.3,東京都江東区永代１,25.11,11.3,11.3,10000.0,1K,4,江東,13,賃貸マンション,7
11.8,東京都荒川区荒川４,42.24,11.8,0.0,5800.0,1LDK,3,荒川,3,賃貸アパート,7
