rent_price,address,sqr_m,name_place,rei_price,shikikin,maintenence_price,nearest_eki,apartment_type,year_built,ku_name,floor,house_type,Lat,Lon
13万円,東京都中野区中野２,25.1m2,ＪＲ中央線 中野駅 8階建 築1年,-,13万円,10000円,ＪＲ中央線/中野駅 歩5分,2K,築1年,東京都中野区中野２,"8階建
",賃貸マンション,,
17万円,東京都中野区新井１,46.07m2,西武新宿線 新井薬師前駅 2階建 築13年,17万円,17万円,3000円,西武新宿線/新井薬師前駅 歩8分,2K,築13年,東京都中野区新井１,"
2階建
",賃貸アパート,,
11万円,東京都目黒区碑文谷２,35.05m2,東急東横線 学芸大学駅 3階建 築30年,11万円,11万円,-,東急東横線/学芸大学駅 歩12分,2K,築30年,東京都目黒区碑文谷２,"
3階建
",賃貸マンション,,
8.7万円,東京都文京区本駒込５,30m2,正太駒込マンション,8.7万円,8.7万円,3000円,ＪＲ山手線/駒込駅 歩6分,2K,築53年,東京都文京区本駒込５,"
12階建
",賃貸マンション,,
7.9万円,東京都中野区中央３,30.62m2,水上アパート,7.9万円,7.9万円,3000円,東京メトロ丸ノ内線/新中野駅 歩8分,2K,築37年,東京都中野区中央３,"
2階建
",賃貸アパート,,
12万円,東京都新宿区西落合１,30.42m2,ZOOM新宿西落合,12万円,12万円,8000円,都営大江戸線/落合南長崎駅 歩6分,2K,築1年,東京都新宿区西落合１,"7階建
",賃貸マンション,,
8.9万円,東京都中野区弥生町２,37m2,コーポ寺前,8.9万円,8.9万円,6000円,東京メトロ丸ノ内線/中野新橋駅 歩4分,2K,築43年,東京都中野区弥生町２,"
6階建
",賃貸マンション,,
7.8万円,東京都中野区上鷺宮４,33.05m2,ゴールド１８,7.8万円,7.8万円,-,西武池袋線/富士見台駅 歩3分,2K,築42年,東京都中野区上鷺宮４,"
3階建
",賃貸マンション,,
8.5万円,東京都荒川区町屋４,30m2,ディアコート町屋,8.5万円,8.5万円,2000円,東京メトロ千代田線/町屋駅 歩9分,1DK,築25年,東京都荒川区町屋４,"
3階建
",賃貸アパート,,
6.5万円,東京都荒川区荒川６,27m2,コーポ三好,6.5万円,6.5万円,-,東京メトロ千代田線/町屋駅 歩2分,1DK,築25年,東京都荒川区荒川６,"
3階建
",賃貸マンション,,
13.5万円,東京都荒川区東日暮里４,41.88m2,ティモーネ上野の森ノース,13.5万円,13.5万円,10000円,ＪＲ山手線/鶯谷駅 歩5分,2DK,築3年,東京都荒川区東日暮里４,"11階建
",賃貸マンション,,
8.7万円,東京都荒川区町屋３,30.08m2,アストラル町屋,8.7万円,8.7万円,3000円,東京メトロ千代田線/町屋駅 歩7分,1DK,築37年,東京都荒川区町屋３,"
10階建
",賃貸マンション,,
11.35万円,東京都目黒区目黒本町３,30.9m2,ラ・リベルテ,11.35万円,-,3000円,東急目黒線/武蔵小山駅 歩8分,1DK,築8年,東京都目黒区目黒本町３,"3階建
",賃貸アパート,,
7.9万円,東京都目黒区柿の木坂３,35m2,東急東横線 学芸大学駅 2階建 築43年,7.9万円,7.9万円,4000円,東急東横線/学芸大学駅 歩13分,2K,築43年,東京都目黒区柿の木坂３,"
2階建
",賃貸アパート,,
9.35万円,東京都墨田区立花５,34.39m2,東武亀戸線 小村井駅 4階建 築9年,9.35万円,-,4000円,東武亀戸線/小村井駅 歩7分,1DK,築9年,東京都墨田区立花５,"4階建
",賃貸マンション,,
12.4万円,東京都目黒区大岡山１,32.18m2,デュオ・スカーラ緑が丘,12.4万円,12.4万円,5000円,東急東横線/自由が丘駅 歩14分,1LDK,築18年,東京都目黒区大岡山１,"
5階建
",賃貸マンション,,
9.4万円,東京都目黒区中根２,22.59m2,東急東横線 都立大学駅 3階建 築6年,18.8万円,9.4万円,5000円,東急東横線/都立大学駅 歩4分,2SK,築6年,東京都目黒区中根２,"3階建
",賃貸テラス・タウンハウス,,
14.8万円,東京都中央区日本橋兜町,30.48m2,パークアクシス日本橋兜町,-,14.8万円,12000円,東京メトロ東西線/茅場町駅 歩4分,1DK,築4年,東京都中央区日本橋兜町,"10階建
",賃貸マンション,,
