rent_price,address,sqr_m,name_place,rei_price,shikikin,maintenence_price,nearest_eki,apartment_type,year_built,ku_name,floor,house_type,Lat,Lon
13.05万円,東京都新宿区山吹町,25.65m2,ハーモニーレジデンス神楽坂ヒルズファースト,-,-,12000円,東京メトロ東西線/神楽坂駅 歩8分,1DK,築2年,東京都新宿区山吹町,"5階建
",賃貸マンション,,
8.2万円,東京都荒川区荒川３,30.71m2,ライトハウス,-,-,8000円,東京メトロ千代田線/町屋駅 歩12分,1DK,築23年,東京都荒川区荒川３,"
6階建
",賃貸マンション,,
17.15万円,東京都渋谷区東３,35.15m2,Starfield　スターフィールド,17.15万円,-,4000円,東京メトロ日比谷線/恵比寿駅 歩6分,1DK,築2年,東京都渋谷区東３,"4階建
",賃貸マンション,,
15.9万円,東京都文京区白山２,41.19m2,都営三田線 白山駅 11階建 築10年,23.85万円,15.9万円,16000円,都営三田線/白山駅 歩5分,1LDK,築10年,東京都文京区白山２,"
11階建
",賃貸マンション,,
10.55万円,東京都文京区関口３,26.04m2,コンシェリア目白台　ＨＩＬＬＳＩＤＥ　ＳＱＵＡＲＥ,-,-,8500円,東京メトロ有楽町線/江戸川橋駅 歩7分,1K,築3年,東京都文京区関口３,"9階建
",賃貸マンション,,
13.3万円,東京都墨田区八広４,40.12m2,レアライズ八広,13.3万円,-,12000円,京成押上線/八広駅 歩6分,1LDK,築4年,東京都墨田区八広４,"9階建
",賃貸マンション,,
9万円,東京都文京区本駒込５,31.04m2,サニーコーポラス,9万円,9万円,-,ＪＲ山手線/駒込駅 歩7分,1LDK,築43年,東京都文京区本駒込５,"
4階建
",賃貸マンション,,
11.2万円,東京都中央区勝どき１,32.77m2,プラザ勝どき,-,11.2万円,12000円,都営大江戸線/勝どき駅 歩3分,1DK,築33年,東京都中央区勝どき１,"
地下1地上14階建
",賃貸マンション,,
14万円,東京都大田区田園調布５,44.78m2,EXIV田園調布,14万円,-,4000円,東急大井町線/九品仏駅 歩17分,1LDK,築7年,東京都大田区田園調布５,"4階建
",賃貸マンション,,
13.9万円,東京都中央区佃２,47.23m2,リバーシティ21イーストタワーズ10棟,13.9万円,13.9万円,10000円,東京メトロ有楽町線/月島駅 歩5分,1LDK,築30年,東京都中央区佃２,"
地下2地上37階建
",賃貸マンション,,
